expenditure_type,sector,dp_code,account_head,amount_thousand,amount_crore,simplified_sector
revenue_services,administration,210-10-01-01,SALARIES AND ALLOWANCES-OFFICERS,989331,98.9331,administration
revenue_services,administration,210-10-01-02,SALARIES AND ALLOWANCES-STAFF,3987247,398.7247,administration
revenue_services,administration,210-10-02-01,SALARIES AND ALLOWANCES-DRIVERS,781654,78.1654,administration
revenue_services,environment,210-10-02-02,SALARIES AND ALLOWANCES-CLEANERS,41457,4.1457,environment
revenue_services,infrastructure,210-10-02-03,SALARIES AND ALLOWANCES-ENGINEERING WORKS,1360707,136.0707,infrastructure
revenue_services,environment,210-10-02-04,SALARIES AND ALLOWANCES-CONSERVANCY WORKS,3221204,322.1204,environment
revenue_services,healthcare,210-10-02-05,SALARIES AND ALLOWANCES-HEALTH WORKS,651955,65.1955,healthcare
revenue_services,administration,210-10-03-01,LEAVE SALARY SURRENDER-OFFICERS,188,0.0188,administration
revenue_services,administration,210-10-03-02,LEAVE SALARY SURRENDER-STAFF,272,0.0272,administration
revenue_services,administration,210-10-03-03,LEAVE SALARY SURRENDER-DRIVERS,28,0.0028,administration
revenue_services,administration,210-10-03-04,LEAVE SALARY SURRENDER-CLEANERS,7,0.0007,administration
revenue_services,infrastructure,210-10-03-05,LEAVE SALARY SURRENDER-ENGINEERING WORKS,45,0.0045,infrastructure
revenue_services,environment,210-10-03-06,LEAVE SALARY SURRENDER-CONSERVANCY WORKS,16,0.0016,environment
revenue_services,healthcare,210-10-03-07,LEAVE SALARY SURRENDER-HEALTH WORKS,104,0.0104,healthcare
revenue_services,administration,210-10-04-02,EX-GRATIA,25,0.0025,administration
revenue_services,environment,210-10-06-01,PAYMENT TO CASUAL STAFF-CONSERVANCY WORKERS,1143507,114.3507,environment
revenue_services,healthcare,210-10-06-02,PAYMENT TO CASUAL STAFF-HEALTH WORKS,571319,57.1319,healthcare
revenue_services,transport,210-10-06-03,PAYMENT TO CASUAL STAFF-ROAD WORKS,40512,4.0512,transport
revenue_services,administration,210-10-06-05,PAYMENT TO CASUAL STAFF-OTHERS,19244,1.9244,administration
revenue_services,administration,210-10-06-06,PAYMENT TO CASUAL STAFF-DRIVER,264,0.0264,administration
revenue_services,energy,210-10-06-07,PAYMENT TO CASUAL STAFF-ELECTRICAL,5315,0.5315,energy
revenue_services,public_welfare,210-10-06-08,PAYMENT TO CASUAL STAFF-AMMA UNAVAGAM,417000,41.7,public_welfare
revenue_services,public_welfare,210-10-06-09,PAYMENT TO CASUAL STAFF-CMBFS,10000,1.0,public_welfare
revenue_services,administration,210-10-07-00,CONTRIBUTION TO C P S-EMPLOYERS SHARE,500400,50.04,administration
revenue_services,healthcare,210-20-01-00,REIMBURSEMENT OF MEDICAL EXPENSES,1453,0.1453,healthcare
revenue_services,administration,210-20-02-00,LEAVE TRAVEL CONCESSION,358,0.0358,administration
revenue_services,administration,210-20-03-00,OVERTIME ALLOWANCE,33,0.0033,administration
revenue_services,administration,210-20-04-01,UNIFORM-DRIVER,2222,0.2222,administration
revenue_services,environment,210-20-04-02,UNIFORM-CLEANER,50,0.005,environment
revenue_services,administration,210-20-04-03,UNIFORM-OFFICE ASSISTANT,1027,0.1027,administration
revenue_services,environment,210-20-04-04,UNIFORM-CONSERVANCY WORKS,16776,1.6776,environment
revenue_services,healthcare,210-20-04-05,UNIFORM-DOCTOR & NURSE,80,0.008,healthcare
revenue_services,healthcare,210-20-04-06,UNIFORM-NURSE,100,0.01,healthcare
revenue_services,administration,210-20-04-08,UNIFORM-OFFICER AND STAFF,141,0.0141,administration
revenue_services,infrastructure,210-20-04-09,UNIFORM-ENGINEERING WORK,3484,0.3484,infrastructure
revenue_services,healthcare,210-20-04-10,UNIFORM-HEALTH WORK,1497,0.1497,healthcare
revenue_services,administration,210-20-06-01,TRAINING-OFFICER,1005,0.1005,administration
revenue_services,administration,210-20-06-02,TRAINING-STAFF,2076,0.2076,administration
revenue_services,administration,210-20-06-03,TRAINING-OTHER STAFF,4,0.0004,administration
revenue_services,administration,210-20-07-03,INCENTIVE-OTHER WORKER,8500,0.85,administration
revenue_services,healthcare,210-20-08-01,HOSPITALISATION BENEFITS-OFFICER,173,0.0173,healthcare
revenue_services,healthcare,210-20-08-02,HOSPITALISATION BENEFITS-STAFF,280,0.028,healthcare
revenue_services,healthcare,210-20-08-03,HOSPITALISATION BENEFITS-OTHER STAFF,160,0.016,healthcare
revenue_services,administration,210-20-10-01,STAFF WELFARE EXPENSES-OFFICER,2786,0.2786,administration
revenue_services,administration,210-20-10-02,STAFF WELFARE EXPENSES-STAFF,2161,0.2161,administration
revenue_services,administration,210-20-10-03,STAFF WELFARE EXPENSES-DRIVERS,3956,0.3956,administration
revenue_services,infrastructure,210-20-10-05,STAFF WELFARE EXPENSES-ENGINEERING WORKS,4169,0.4169,infrastructure
revenue_services,healthcare,210-20-10-06,STAFF WELFARE EXPENSES-HEALTH WORKS,2794,0.2794,healthcare
revenue_services,environment,210-20-10-07,STAFF WELFARE EXPENSES-CONSERVANCY WORKS,11271,1.1271,environment
revenue_services,administration,210-20-10-08,STAFF WELFARE EXPENSES-OTHER STAFF,1670,0.167,administration
revenue_services,healthcare,210-20-12-00,NEW HEALTH INSURANCE SCHEME-MANAGEMENT CONTRIBUTION,8000,0.8,healthcare
revenue_services,administration,210-20-14-00,REIMBURSEMENT OF TUTION FEE (IAS OFFICER'S CHILDRENS),243,0.0243,administration
revenue_services,administration,210-30-01-00,PENSION,3000000,300.0,administration
revenue_services,administration,210-30-02-00,COMMUTED PENSION,470000,47.0,administration
revenue_services,administration,210-30-03-00,FAMILY PENSION,1750000,175.0,administration
revenue_services,administration,210-30-04-01,PENSION CONTRIBUTION TO DEPUTATIONIST-TREASURIES,2000,0.2,administration
revenue_services,administration,210-30-04-02,PENSION CONTRIBUTION TO DEPUTATIONIST-REVENUE,500,0.05,administration
revenue_services,administration,210-30-04-04,PENSION CONTRIBUTION TO DEPUTATIONIST-FINANCE,1500,0.15,administration
revenue_services,administration,210-30-04-05,PENSION CONTRIBUTION TO DEPUTATIONIST-HEALTH,1,0.0001,administration
revenue_services,administration,210-30-04-07,PENSION CONTRIBUTION TO DEPUTATIONIST-OTHERS,4622,0.4622,administration
revenue_services,administration,210-40-01-01,LEAVE ENCASHMENT-OFFICERS AND STAFF,300935,30.0935,administration
revenue_services,administration,210-40-01-02,LEAVE ENCASHMENT-OTHER STAFF,367669,36.7669,administration
revenue_services,administration,210-40-02-00,DEATH CUM GRATUITY,700000,70.0,administration
revenue_services,administration,210-40-04-01,LEAVE SALARY CONTRIBUTION TO DEPUTATIONIST-TREASURIES,1000,0.1,administration
revenue_services,administration,210-40-04-02,LEAVE SALARY CONTRIBUTION TO DEPUTATIONIST-REVENUE,300,0.03,administration
revenue_services,administration,210-40-04-04,LEAVE SALARY CONTRIBUTION TO DEPUTATIONIST-FINANCE,500,0.05,administration
revenue_services,administration,210-40-04-05,LEAVE SALARY CONTRIBUTION TO DEPUTATIONIST-HEALTH,2,0.0002,administration
revenue_services,administration,210-40-04-07,LEAVE SALARY CONTRIBUTION TO DEPUTATIONIST-OTHERS,2221,0.2221,administration
revenue_services,administration,210-40-05-00,GROUP INSURANCE,50000,5.0,administration
revenue_services,administration,220-10-01-00,BUILDING AND LAND RENT,154,0.0154,administration
revenue_services,administration,220-10-02-00,MOTOR VEHICLE TAXES,10000,1.0,administration
revenue_services,administration,220-10-03-00,OTHER TAXES,21,0.0021,administration
revenue_services,administration,220-10-04-00,LICENCES,316,0.0316,administration
revenue_services,energy,220-11-01-08,ELECTRICITY CHARGES-STREET LIGHTS,1500000,150.0,energy
revenue_services,education,220-11-01-15,ELECTRICITY CHARGES-HIGH AND HIGHER SECONDARY SCHOOL BUILDING,300,0.03,education
revenue_services,energy,220-11-01-20,ELECTRICITY CHARGES-OTHER THAN STREET LIGHTS,370000,37.0,energy
revenue_services,energy,220-11-01-21,PAYMENT OF EB CHARGES - ICCC,8500,0.85,energy
revenue_services,administration,220-11-02-02,WATER CHARGES-ZONAL BUILDINGS,7,0.0007,administration
revenue_services,administration,220-11-02-07,WATER CHARGES-HIGH AND HIGHER SECONDARY SCHOOL BUILDING,1,0.0001,administration
revenue_services,administration,220-11-02-08,WATER CHARGES-OTHER BUILDINGS,2501,0.2501,administration
revenue_services,administration,220-11-03-02,SECURITY EXPENSES-ZONAL BUILDINGS,14624,1.4624,administration
revenue_services,administration,220-11-03-04,SECURITY EXPENSES-DUMPING YARD,4,0.0004,administration
revenue_services,administration,220-11-03-05,SECURITY EXPENSES-SUB STATION,14,0.0014,administration
revenue_services,environment,220-11-03-06,SECURITY EXPENSES-PARKS & GARDENS,1,0.0001,environment
revenue_services,infrastructure,220-11-03-08,SECURITY EXPENSES-MECHANICAL ENGINEERING BUILDING,20000,2.0,infrastructure
revenue_services,healthcare,220-11-03-09,SECURITY EXPENSES-HEALTH BUILDING,4719,0.4719,healthcare
revenue_services,education,220-11-03-12,SECURITY EXPENSES-HIGH AND HIGHER SECONDARY SCHOOL BUILDING,15000,1.5,education
revenue_services,administration,220-11-03-13,SECURITY EXPENSES-OTHER BUILDING,11422,1.1422,administration
revenue_services,administration,220-11-03-14,DATA ENTRY CHARGES,67123,6.7123,administration
revenue_services,public_welfare,220-11-03-15,SECURITY CHARGES - AMMA UNAVAGAM,6710,0.671,public_welfare
revenue_services,administration,220-12-01-00,TELEPHONE EXPENSES,2650,0.265,administration
revenue_services,administration,220-12-02-00,INTERNET CHARGES,30003,3.0003,administration
revenue_services,administration,220-12-03-00,MOBILE CHARGES,8013,0.8013,administration
revenue_services,administration,220-12-04-00,WIRELESS CHARGES,13000,1.3,administration
revenue_services,administration,220-12-05-00,CONNECTIVITY CHARGES,1106,0.1106,administration
revenue_services,administration,220-12-06-00,MAIN SERVER DATA MAINTENANCE CHARGES,100,0.01,administration
revenue_services,administration,220-20-01-01,LIBRARY BOOKS-CENTRAL LIBRARY,100,0.01,administration
revenue_services,administration,220-20-01-02,LIBRARY BOOKS-DEPARTMENT LIBRARY,18,0.0018,administration
revenue_services,administration,220-20-02-01,MAGAZINES & NEWSPAPERS-CENTRAL LIBRARY,200,0.02,administration
revenue_services,administration,220-20-02-02,MAGAZINES & NEWSPAPERS-DEPARTMENT LIBRARY,1,0.0001,administration
revenue_services,administration,220-20-02-03,MAGAZINES & NEWSPAPERS-OFFICERS,265,0.0265,administration
revenue_services,administration,220-20-03-01,JOURNALS & PERIODICALS-CENTRAL LIBRARY,100,0.01,administration
revenue_services,administration,220-20-03-02,JOURNALS & PERIODICALS-DEPARTMENT LIBRARY,2,0.0002,administration
revenue_services,administration,220-21-01-01,PRINTING CHARGES-MATERIAL,15000,1.5,administration
revenue_services,administration,220-21-01-02,PRINTING CHARGES-OUTSIDE PRINTING,20060,2.006,administration
revenue_services,administration,220-21-01-04,PATTA TRANSFER CHARGES,1,0.0001,administration
revenue_services,administration,220-21-02-02,COMPUTER STATIONERY-DEPARTMENT PURCHASE,2769,0.2769,administration
revenue_services,administration,220-21-03-01,STATIONERY-CENTRAL PURCHASE,1,0.0001,administration
revenue_services,administration,220-21-03-02,STATIONERY-DEPARTMENT PURCHASE,8516,0.8516,administration
revenue_services,administration,220-21-04-02,COMPUTER CONSUMABLES-DEPARTMENT PURCHASE,36100,3.61,administration
revenue_services,administration,220-21-05-00,REVENUE STAMP,1,0.0001,administration
revenue_services,administration,220-22-01-00,POSTAGE,10357,1.0357,administration
revenue_services,administration,220-22-02-00,COURIER,29,0.0029,administration
revenue_services,administration,220-22-03-00,FRANKING STAMP,300,0.03,administration
revenue_services,administration,220-30-01-01,LOCAL CONVEYANCE-OFFICERS & STAFF,679,0.0679,administration
revenue_services,administration,220-30-03-01,TRAVELING EXPENSES-AIR TRAVEL,4395,0.4395,administration
revenue_services,administration,220-30-03-02,TRAVELING EXPENSES-TRAIN TRAVEL,558,0.0558,administration
revenue_services,administration,220-30-03-03,TRAVELING EXPENSES-OTHERS,121,0.0121,administration
revenue_services,administration,220-40-02-00,INSURANCE - DEPARTMENTAL VEHICLES,30000,3.0,administration
revenue_services,administration,220-50-00-00,AUDIT FEES,20000,2.0,administration
revenue_services,administration,220-51-01-01,LEGAL FEES-CORPORATION STANDING COUNSEL,7000,0.7,administration
revenue_services,administration,220-51-01-02,LEGAL FEES-OTHER STANDING COUNSEL,10001,1.0001,administration
revenue_services,administration,220-51-02-00,EXPENSES FOR FILING CASES,1000,0.1,administration
revenue_services,administration,220-51-03-00,ARBITRATION FEES,504,0.0504,administration
revenue_services,administration,220-51-04-00,RETAINER FEES,3000,0.3,administration
revenue_services,administration,220-51-05-00,OTHER LEGAL EXPENSES,1001,0.1001,administration
revenue_services,administration,220-52-03-00,ENGINEER FEES,5051,0.5051,administration
revenue_services,administration,220-52-04-00,TECHNICAL FEES,1,0.0001,administration
revenue_services,administration,220-52-05-00,CONSULTANT CHARGES,153014,15.3014,administration
revenue_services,administration,220-52-06-00,EXPERT COMMITTEE FEES,3,0.0003,administration
revenue_services,digital_governance,220-53-01-01,E-GOVERNANCE - DESIGN & CONSULTANCY CHARGES-GOVERNMENT AGENCIES,1000,0.1,digital_governance
revenue_services,digital_governance,220-53-01-02,E-GOVERNANCE - DESIGN & CONSULTANCY CHARGES-VENDORS,150002,15.0002,digital_governance
revenue_services,administration,220-60-01-01,ADVERTISEMENT CHARGES-REVENUE TENDER,17000,1.7,administration
revenue_services,administration,220-60-01-02,ADVERTISEMENT CHARGES-CAPITAL TENDER,80000,8.0,administration
revenue_services,administration,220-60-01-03,ADVERTISEMENT CHARGES-HEALTH,4001,0.4001,administration
revenue_services,administration,220-60-01-04,ADVERTISEMENT CHARGES-CIVIC,1000,0.1,administration
revenue_services,administration,220-60-01-05,P.R.O. VISUAL EXPNESES,3000,0.3,administration
revenue_services,administration,220-60-01-06,P.R.O. MEDIA CENTRE EXPENSES,500,0.05,administration
revenue_services,administration,220-60-03-00,PUBLICITY CHARGES,1664,0.1664,administration
revenue_services,administration,220-60-04-00,ORGANIZATION OF FESTIVAL,34,0.0034,administration
revenue_services,administration,220-61-01-00,HOSPITALITY EXPENSES - WARD COMMITTEE MEETING,2000,0.2,administration
revenue_services,administration,220-61-02-00,HOSPITALITY EXPENSES - STANDING COMMITTEE MEETING,2000,0.2,administration
revenue_services,administration,220-61-03-00,HOSPITALITY EXPENSES - COUNCIL MEETING,5000,0.5,administration
revenue_services,administration,220-61-04-00,HOSPITALITY EXPENSES - DELEGATES,200,0.02,administration
revenue_services,administration,220-61-05-00,HOSPITALITY EXPENSES - PUBLIC RELATION OFFICE,1000,0.1,administration
revenue_services,administration,220-61-06-00,HOSPITALITY EXPENSES - OTHER PROGRAMMES,36126,3.6126,administration
revenue_services,administration,220-61-07-00,HOSPITALITY EXPENSES - AREA SABHA MEETING,40000,4.0,administration
revenue_services,administration,220-62-01-00,ASSOCIATION MEMBERSHIP,2,0.0002,administration
revenue_services,administration,220-62-03-00,SUBSCRIPTION TO INSTITUTIONS,323,0.0323,administration
revenue_services,administration,220-80-01-00,PRIZES AND AWARDS,349,0.0349,administration
revenue_services,administration,220-80-02-00,SITTING FEE FOR COUNCILORS,15780,1.578,administration
revenue_services,administration,220-80-02-01,SITTING FEE FOR HOARDINGS COMMITTEE,1,0.0001,administration
revenue_services,administration,220-80-02-02,HONORARIUM FOR COUNCILLORS,18500,1.85,administration
revenue_services,administration,220-80-03-00,FAMILY BENEFIT FUND FOR COUNCILORS,1500,0.15,administration
revenue_services,administration,220-80-04-00,FEES FOR ENQUIRY OFFICERS,1,0.0001,administration
revenue_services,administration,220-80-05-00,WELFARE EXPENSES - STANDING COMMITTEES,700,0.07,administration
revenue_services,administration,220-80-06-00,ASSISTANCE TO PUBLIC ON HOSPITLISATION EXPENSES,5,0.0005,administration
revenue_services,administration,220-80-07-00,INCOME TAX RETURN FILLING CHARGES,3459,0.3459,administration
revenue_services,administration,220-80-09-00,FOOD SAFETY LICENSE-AMMA UNAVAGAM,1,0.0001,administration
revenue_services,administration,220-80-09-01,SBM-IEC & PUBLIC AWARENESS,100,0.01,administration
revenue_services,administration,220-80-09-02,SBM-CAPACITY BUILDING & AOE,100,0.01,administration
revenue_services,administration,220-80-09-06,HOARDINGS REMOVAL EXPENSES,10000,1.0,administration
revenue_services,administration,220-80-15-01,CHENNAI CITY PARTNERSHIP (SUSP) EXPENSES,10000,1.0,administration
